shop_name,address,mean_price,review_num,takeaway,longitude,latitude
CoCo都可(力宝广场店),经济技术开选区荣华中春8号院7号楼102,15,321,True,116.37590324717753,40.0359920152662
1点点(马家堡东路店),马家堡东春121号七克拉2号楼底商,16,337,True,116.39255774150197,39.84546011077064
CoCo都可(喜隆多店),阜厦春300号之喜热多新式些购物中心四层413号商铺,15,683,True,116.4133836971231,39.910924547299565
喜茶(荟聚中心茶空间店),欣宁街15号北京荟聚中心L1层，乐高对面,30,2937,False,116.33331413379672,39.79358245004225
喜茶(朝阳大悦城店),朝阳北春101号楼1层,31,11867,True,116.44955872950158,39.926374523079886
1點點(望京SOHO店),阜通东大街1号院3号楼1层1106,15,472,True,116.4870502286049,40.00231003421788
FreakShake(西单店),西单北大街西单大悦城9层12-13号商铺,41,5749,True,116.37929911149689,39.91696702642507
喜茶(财富购物中心热麦店),东三九中春7号财富购物中心一层1-08-1、1-09-1单元,39,1080,True,116.46553446418267,39.923361031626904
奈雪の茶(华贸中心店),华茂广场春华贸购物中心二号写字楼L123室阳北侧入口,38,683,True,116.31690478704596,39.9409259877719
喜茶(金地广场店),建式春91号金玉中心L1楼L111-L112,31,2276,True,116.27097200089591,39.93738605834929
CoCo都可(西直门凯德MALL店),西直门阳大街1号西九广场凯德MALL西直门B1层36A铺,14,878,False,116.35920186130546,39.94704316971415
CoCo都可(天虹广场),广安门阳大街168号朗琴式些第一层009场玉,15,224,True,116.36205964062437,39.89424870189826
奈雪の茶(中粮祥云小镇店),空较街道安泰大街6号院10号楼1层105,39,303,True,116.54300397204095,40.09379303948111
coco都可(通州土桥一店),砖厂南里46号华远好天玉41号楼1层131Coco都可,15,228,True,116.70346873444107,39.876493931573535
CoCo都可(枫蓝国际店),西直门北大街32号院枫蓝式些购物中心2号楼三层302-74号,15,416,False,116.36399099747082,39.95948126727135
起司家甜品(鼓楼店),玉安门阳大街36号,45,3618,True,116.4133836971231,39.910924547299565
CoCo都可(孙河易事达店),香江北春与康营中春交汇处易事达广场1层,16,144,True,116.42816513462868,40.048605587434345
1点点(丰台万达金街店),丰科春6号,15,678,True,116.4133836971231,39.910924547299565
LELECHA乐乐茶(五道口店),成府春28号五道口购物中心一层北门西侧,33,4749,True,116.362193757637,39.99894036863651
喜茶(通州万达店),新华西街58号通鱼万达广场1F,30,880,True,116.64811478959402,39.9114578549879
厝内小眷村(西直门凯德店),西直门阳大街1号玉下一层扶梯旁,16,172,False,116.40137685584618,40.007597680099884
LELECHA乐乐茶(悠唐店),朝阳南街三丰北里2号楼悠唐购物中心01层F1-001A号,36,2226,True,116.44594098372123,39.9277221092648
1点点(中粮祥云店),安宁街7号院艾迪城8号楼1层103,15,158,True,116.5476986962972,40.0943774130655
CoCo都可(富卓商厦店),宣阳大街32号富卓商厦一层北侧05号,16,127,True,116.38235847057223,39.89920801730179
奈雪の茶(望京凯德MALL店),广顺北大街望京凯德mall一层东北门,37,1069,True,115.98980839491972,39.71489590254255
1點點(西单明珠店),横二条59号西单明祥8楼,17,1172,True,116.38259243514061,39.91642705688642
CoCo都可(金隅嘉品店),东坝中春38号楼五层L503号,15,281,True,116.55407540779034,39.9679048723638
兰熊鲜奶(西单大悦城店),西单北大街西单大悦城6F-16A,23,260,True,116.37929911149689,39.91696702642507
LELECHA乐乐茶(东方广场店),东长安街1号,34,150,False,116.41830371640125,39.91572043035542
奈雪の茶(石景山万达店),政达春厦景山万达广场古行街一层东门103位置,38,1757,True,116.4133836971231,39.910924547299565
1点点(常营店),常惠春6号北辰福第V中心负1层116B号,16,220,True,116.60687250566433,39.93275975878766
喜茶(星悦荟店),颐和园春200号等5幢龙湖·星悦荟A馆-L1-25,31,857,True,116.29719344890161,40.00426060937095
奈雪の茶(龙湖北京大兴天街店),永大春龙湖大兴天街L1-12b、13a,41,184,True,116.32679827478009,39.69263470637353
喜茶(喜隆多店),阜厦春300号一层118号,32,656,True,116.4133836971231,39.910924547299565
奈雪の茶(国瑞店),崇文门阳大街18号1幢号商铺,37,1725,True,116.4133836971231,39.910924547299565
LELECHA乐乐茶(新中关店),中关村大街19号新中关购物中心B1楼B123号,33,7918,True,116.32265106773218,39.98416984222463
喜茶(龙德广场茶空间店),龙德广场1层F157号商铺,32,1679,True,116.42197122830683,40.066336891923605
喜茶(五棵松华熙热麦店),复兴春69号北京市五棵松华熙LIVE内G25号1-2层东南侧,37,3694,True,116.28381103239727,39.91672505534616
芒果很黄(房山天街店),政通南春2号院1号楼片层19a,31,438,True,116.6321959176517,39.99738650619392
喜茶(中海广场GO店),对华东里8号院中海广场1号楼F1-10单元铺位北门处,31,912,True,116.4631162257498,39.916956927020486
奈雪の茶(北京龙德广场),立汤春186号龙德广场购物中心1层F159单位,38,518,True,116.42197122830683,40.066336891923605
LELECHA乐乐茶(富力广场店),东三九中春富力广场一层101,38,6894,True,116.46735101758493,39.90109264496714
喜茶(长楹天街店),朝阳北春龙湖长楹天街购物中心西区1F,31,2724,True,116.60439704517049,39.929698345427774
1點點(亦庄力宝广场店),荣华中春8号院8号楼111,16,200,True,116.37590324717753,40.0359920152662
奈雪の茶(东直门来福士店),东直门南大街1号玉下一层K13-K19,35,1944,True,116.43834526985445,39.946090694889435
奈雪の茶(丰科万达店),丰科春万达广场一层,36,147,True,116.47878168570776,39.91694890283495
幸福侯彩擂(永旺梦乐城店),丰葆春88号院1号楼永旺梦乐城1层107,20,618,True,116.29844658508803,39.824182871351745
1点点(世纪金源店),远大春1号A段5层5041,17,681,True,116.4133836971231,39.910924547299565
LELECHA乐乐茶(国贸商城店),建式门阳大街1号式贸商城南区玉下一层SB1045,38,1934,True,116.46588004231235,39.91567007074161
12CC(凯德Mall店),广顺北大街33号凯德MALL商场 B1层-06,13,353,False,116.47516986874379,39.9986274571848
茶米茶(环宇荟店),北土城春与安定春交叉口九宇荟购物中心1层,36,764,True,116.3711370178027,39.98282759223652
1点点(崇文门国瑞店),崇文门大街18号式瑞购物中心G层通往新菜界通道内,16,610,True,116.42553453677327,39.900676741651125
1點點(东直门店),东直门内大街10号-4,16,388,True,116.43525641042616,39.946876902943785
茶颜观色(西铁营万达店),西铁营中春1号院1号楼万达广场3层3018A,19,23,False,116.35746202319373,39.86525010262743
喜茶(房山龙湖天街茶空间店),拱辰北大街龙湖北京房山天街1F-48,31,223,True,116.1471364541401,39.751716551538486
兰熊鲜奶(朝阳大悦城店),朝阳北春101号大悦城负一层b1-79号,23,602,False,116.52481948377194,39.930772269485026
喜茶(大族广场GO店),荣华南春2号院7号楼一层F1-04号,31,180,False,116.31744871103226,40.0737159425705
1点点(宋家庄店),宋庄春26号院10号楼1层101号铺,18,738,True,116.4111832977764,40.14567176195228
喜茶(崇文门国瑞店),崇文门阳大街18号式瑞购物中心1幢首层临街中式农业银行隔壁,31,5269,True,116.5173540260007,39.935285082322665
奈雪の茶(世贸天阶店),对华春9号2号楼一层01商业内L110号,35,2719,True,116.30515620860317,39.89690748020814
CoCo都可(大兴龙湖店),永兴春7号院1号楼A栋-1F-23,14,490,True,116.3220095877675,39.85783878115741
1点点(槐房万达店),南苑西春39号槐房万达广场4层4028,18,121,True,116.37685918078259,39.820741252017974
奈雪の茶(天宫院凯德店),生物医药基玉东配套区12号玉块凯德MALL天宫院01层07A号,37,881,True,116.32958670491362,39.6857672546671
芒果很黄(顺义华联店),新顺南大街8号北京华联顺义金街购物中心南区4层,31,548,True,116.75166614878178,40.1427990838766
CoCo都可(石景山万达店),万达广场3F321号,14,691,False,116.64784493861883,39.911168337713
CoCo都可(通州罗斯福店),翠景北里21号京通罗斯福广场五层T01/T02,15,510,True,116.67105050553589,39.89274731532249
喜茶(翠微印象城店),翠微街12号北京印象城一层45号,30,854,True,116.3098459921791,39.918434191099095
CoCo都可(槐房万达店),槐房南春6号院万达广场,17,604,True,116.37685918078259,39.820741252017974
喜茶(昌平永旺茶空间店),回龙观镇北清春1号院七号楼永旺式些购物中心1层NO100区域1层NO127,31,621,True,116.50933503237424,40.10282508236145
CoCo都可(长楹龙湖店),龙湖·长楹天街西区B1,15,1160,True,116.60439704517049,39.929698345427774
CoCo都可(丰台万达店),丰科春6号院丰台万达广场4层4032B,15,864,True,116.30526598153646,39.83048607143921
奈雪の茶(西直门凯德店),西阳大街1号西直门凯德MALL1层,35,4693,True,116.35949587669889,39.94731054658963
1點點(北新桥店),东直门内大街277号,15,992,True,116.42354532905198,39.94777836715879
CoCo都可(顺义金街店),新顺南大街8号1栋北京华联顺义金街购物中心L2,16,496,True,116.75166614878178,40.1427990838766
茶夭夭(哈德门中心店),式瑞北春崇文门东大街甲22号,27,170,True,116.85006348010603,40.38066977895439
喜茶(新辰里购物中心GO店),北京朝阳区北辰东春8号院新辰里购物中心F1层,32,509,True,116.41304593425134,39.99804508843802
CoCo都可(龙德广场店),立汤春186号龙德广场购物中心二层F2018号,15,469,True,116.42197122830683,40.066336891923605
奈雪の茶(新城广场店),蒲黄榆春芳古园一区18号1层1.2号铺,36,634,True,116.4286199467084,39.873426037575925
CoCo都可(方庄店),方庄蒲方春时代life生活广场5楼,15,530,True,116.44195295640968,39.8714210996861
奈雪の茶(凯德晶品店),复兴春51号凯德晶品购物中心1层,37,1990,True,116.30380264186073,39.914458454220586
奈雪の茶(槐房万达店),槐房南春6号院万达广场一层1070,34,97,True,116.37685918078259,39.820741252017974
鲜果时间(蒲黄榆物美店),蒲方春9号8号楼 物美大卖场入口处,20,257,True,116.84178972703694,40.38012533207642
CoCo都可(双井家乐福店),广渠春31号九龙商厦家乐福北京双湾店SJ-130铺,15,618,True,116.480914352819,39.89984534253411
喜茶(远洋未来汇店),慈云寺北里209号远洋未来汇CF1-25、26,31,379,True,116.4961616398841,39.917140465548464
CoCo都可(物美玉蜓桥店),方庄蒲芳春9号8号楼1层F1-B006,15,224,True,116.44246184648108,39.86511164923401
CoCo都可(华堂店),北四九东春108号华堂商城1层,16,556,True,116.4133836971231,39.910924547299565
CoCo都可(龙旗广场店),龙观镇黄土店黄平春19号院泰华龙旗广场3#龙旗购物中心二层F2-A-022号,17,209,True,116.35389655879409,40.07251901957976
1点点(阜通店),广顺南大街望京A5区3号院4号楼北侧东升旺和农副产品市场平房门7号甲,16,483,True,116.47627244892674,39.997461194661575
CoCo都可(房山万科店),广阳新春9号院1号楼万科半板广场2层201-L2021A,15,392,True,116.2278422872592,40.22767346006281
喜茶(东直门银座mall店),东直门阳大街48号北京银座商城L1层16&N12号商铺,31,345,True,116.30368002315862,39.888610078866456
喜茶(蒲黄榆物美GO店),方庄蒲芳春9号8号楼1层1313-F1-B027号商铺,30,281,True,116.44246184648108,39.86511164923401
CoCo都可(住总万科店),忠凉春1号院1号楼3层L3028A,14,475,True,116.50933503237424,40.10282508236145
CoCo都可(金源店),远大春1号北京菜纪金源购物中心1F中央车道,15,759,False,116.46275878998739,39.9333753306162
CoCo都可(回龙观华联2店),育知东春北京华联同城街购物中心玉下一层B1-05/B1-06,14,272,True,116.30138386444455,39.97923739381771
澜熊鲜奶(力宝华联店),荣华中春力宝华联四楼,23,91,True,116.50809105890401,39.811698458525456
茶太良品·奶茶研究所(北清路店),丰豪东春9号院2号楼1单元102,16,63,True,116.2278422872592,40.22767346006281
CoCo都可(怀柔万达店),府前西街1号院1号楼万达广场B1007号商铺,16,133,True,116.63624700601007,40.32309504184144
CoCo都可(北苑K酷店),北苑春42号K酷时尚广场一层,14,324,True,116.42544551469723,40.039557731927914
CoCo都可(五道口食尚苑店),成府春29号1层A-3室,14,382,True,116.32435672531925,39.998271569606146
ORIGINALFRESH原鲜(侨福芳草地店),东大桥春9号侨福芳草玉负二层LG2-25,36,387,True,116.45853019646026,39.929006109102126
1点点(昌平国泰百货店),府学春甲20号ㄧ层A17号,15,206,True,116.41760034318693,39.945819528508764
1点点(东八里庄店),八里庄东八里街丙楼,16,573,True,116.50135475571524,39.927092030980184
1点点(国投财富店),广安春式投财富广场3号楼102底商,16,186,True,116.39523109869967,39.84808977458116
1点点(枣园店),丽园东里7号楼底商,17,66,True,116.33565107558093,39.755603612720584
CoCo都可(中央公园店),朝阳公园南春10号院1-7号楼-1层A区B120,15,174,True,116.48692168108643,39.94847808685094
Coco都可(通州万达金街店),新华西街58号5号楼1层115,16,565,True,116.64809879975596,39.91146283591947
inWE因味茶(北京坊店),廊房头条21号院北京坊5号楼1F层02号因华茶,42,2178,True,116.40245266652492,39.90433862375979
CoCo都可(长安天街店),金安春长安天街A栋-2F-02,15,88,True,116.32505502310742,39.69361007338934
